10,Denise,Cook,dcook9@printfriendly.com,Female,Canada
14,Martha,Larson,mlarsond@tripadvisor.com,Female,Canada
16,Lois,Spencer,lspencerf@vinaora.com,Female,Canada
18,Melissa,Matthews,mmatthewsh@engadget.com,Female,Canada
32,Cynthia,Adams,cadamsv@blog.com,Female,Canada
33,Jacqueline,Howard,jhowardw@webmd.com,Female,Canada
38,Amy,Adams,aadams11@cam.ac.uk,Female,Canada
66,Norma,Wood,nwood1t@scientificamerican.com,Female,Canada
90,Betty,Campbell,bcampbell2h@bandcamp.com,Female,Canada
92,Melissa,Grant,mgrant2j@google.fr,Female,Canada
105,Heather,Bowman,hbowman2w@pcworld.com,Female,Canada
109,Kathy,Scott,kscott30@buzzfeed.com,Female,Canada
119,Barbara,Taylor,btaylor3a@house.gov,Female,Canada
126,Ann,Gray,,Female,Canada
135,Tammy,Fox,tfox3q@techcrunch.com,Female,Canada
148,Ashley,Stevens,astevens43@surveymonkey.com,Female,Canada
155,Evelyn,Lynch,elynch4a@gnu.org,Female,Canada
165,Gloria,Porter,,Female,Canada
196,Melissa,Morris,mmorris5f@angelfire.com,Female,Canada
199,Shirley,Hughes,shughes5i@goo.ne.jp,Female,Canada
200,Janet,Nichols,jnichols5j@comsenz.com,Female,Canada
215,Diane,Gray,dgray5y@trellian.com,Female,Canada
219,Marie,Frazier,mfrazier62@fema.gov,Female,Canada
222,Anne,Bennett,abennett65@cpanel.net,Female,Canada
225,Sarah,Nichols,snichols68@washingtonpost.com,Female,Canada
227,Jane,Shaw,jshaw6a@usa.gov,Female,Canada
233,Joyce,Porter,jporter6g@dailymotion.com,Female,Canada
239,Cynthia,Williamson,cwilliamson6m@fc2.com,Female,Canada
256,Janet,Moore,jmoore73@networksolutions.com,Female,Canada
259,Sharon,Ramos,sramos76@csmonitor.com,Female,Canada
266,Kathleen,Richards,krichards7d@reuters.com,Female,Canada
270,Laura,Pierce,lpierce7h@wp.com,Female,Canada
273,Emily,Peters,epeters7k@mozilla.com,Female,Canada
280,Melissa,Fields,mfields7r@google.es,Female,Canada
283,Lois,Green,lgreen7u@slashdot.org,Female,Canada
289,Jessica,Andrews,jandrews80@sciencedirect.com,Female,Canada
290,Margaret,Morgan,mmorgan81@columbia.edu,Female,Canada
301,Emily,Harrison,eharrison8c@hibu.com,Female,Canada
302,Laura,Young,lyoung8d@networkadvertising.org,Female,Canada
318,Phyllis,Elliott,pelliott8t@cocolog-nifty.com,Female,Canada
323,Andrea,Davis,adavis8y@wufoo.com,Female,Canada
332,Jennifer,Freeman,jfreeman97@hao123.com,Female,Canada
337,Frances,Chapman,fchapman9c@artisteer.com,Female,Canada
346,Alice,Freeman,afreeman9l@cbc.ca,Female,Canada
348,Janice,Hicks,jhicks9n@java.com,Female,Canada
362,Teresa,Moreno,tmorenoa1@devhub.com,Female,Canada
365,Michelle,Tucker,mtuckera4@senate.gov,Female,Canada
368,Diane,Butler,dbutlera7@dailymail.co.uk,Female,Canada
371,Judith,Cole,jcoleaa@msn.com,Female,Canada
388,Marie,Bennett,mbennettar@boston.com,Female,Canada
407,Dorothy,Olson,dolsonba@technorati.com,Female,Canada
409,Martha,Webb,mwebbbc@scientificamerican.com,Female,Canada
412,Paula,Owens,powensbf@yelp.com,Female,Canada
414,Paula,Flores,pfloresbh@latimes.com,Female,Canada
417,Sandra,Miller,smillerbk@ed.gov,Female,Canada
420,Michelle,Henry,mhenrybn@themeforest.net,Female,Canada
454,Patricia,Hunt,phuntcl@surveymonkey.com,Female,Canada
461,Elizabeth,Black,eblackcs@instagram.com,Female,Canada
470,Deborah,Hart,dhartd1@mashable.com,Female,Canada
471,Jane,Moore,jmoored2@sakura.ne.jp,Female,Canada
486,Lori,Rivera,lriveradh@example.com,Female,Canada
507,Diana,Reyes,dreyese2@unicef.org,Female,Canada
515,Julie,Lynch,jlynchea@ning.com,Female,Canada
526,Janice,Hart,jhartel@storify.com,Female,Canada
